"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - Euro (IRS.M.AT.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.BE.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.BG.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.CY.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.DE.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.EE.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.ES.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.FI.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.FR.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.GR.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.HR.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.I10.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.IE.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.IT.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.LT.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.LU.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.LV.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.MT.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.NL.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.PT.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.SI.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.SK.L.L40.CI.0000.EUR.N.Z)","Long-term interest rate for convergence purposes - Euro (IRS.M.U2.L.L40.CI.0000.EUR.N.Z)"
"1986-01-31","1986Jan","","","","","","","","","10.05"
"1986-02-28","1986Feb","","","","","","","","","9.81"
"1986-03-31","1986Mar","","","","","","","","","8.81"
"1986-04-30","1986Apr","","","","","","","","","8.04","","","","","","","","","","6.11"
"1986-05-31","1986May","","","","","","","","","7.90","","","","","","","","","","6.34"
"1986-06-30","1986Jun","","","","","","","","","8.06","","","","","","","","","","6.29"
"1986-07-31","1986Jul","","","","","","","","","7.95","","","","","","","","","","6.24"
"1986-08-31","1986Aug","","","","","","","","","7.76","","","","","","","","","","6.01"
"1986-09-30","1986Sep","","","","","","","","","7.56","","","","","","","","","","6.03"
"1986-10-31","1986Oct","","","","","","","","","7.99","","","","","","","","","","6.18"
"1986-11-30","1986Nov","","","","","","","","","8.66","","","","","","","","","","6.22"
"1986-12-31","1986Dec","","","","","","","","","8.81","","","","","","","","","","6.27"
"1987-01-31","1987Jan","","","","","","","","","8.86","","","","","","","","","","6.16"
"1987-02-28","1987Feb","","","","","","","","","9.12","","","","","","","","","","6.18"
"1987-03-31","1987Mar","","","","","","","","","8.67","","","","","","","","","","6.20"
"1987-04-30","1987Apr","","","","","","","","","8.69","","","","","","","","","","6.12"
"1987-05-31","1987May","","","","","","","","","8.94","","","","","","","","","","6.06"
"1987-06-30","1987Jun","","","","","","","","","9.32","","","","","","","","","","6.27"
"1987-07-31","1987Jul","","","","","","","","","9.37","","","","","","","","","","6.45"
"1987-08-31","1987Aug","","","","","","","","","9.83","","","","","","","","","","6.60"
"1987-09-30","1987Sep","","","","","","","","","10.25","","","","","","","","","","6.87"
"1987-10-31","1987Oct","","","","","","","","","10.70","","","","","","","","","","7.08"
"1987-11-30","1987Nov","","","","","","","","","9.96","","","","","","","","","","6.41"
"1987-12-31","1987Dec","","","","","","","","","9.98","","","","","","","","","","6.42"
"1988-01-31","1988Jan","","","","","","","","","9.81","","","","","","","","","","6.38"
"1988-02-29","1988Feb","","","","","","","","","9.13","","","","","","","","","","6.20"
"1988-03-31","1988Mar","","","","","","","","","9.26","","","","","","","","","","6.13"
"1988-04-30","1988Apr","","","","","","","","","9.20","","","","","","","","","","6.19"
"1988-05-31","1988May","","","","","","","","","9.25","","","","","","","","","","6.47"
"1988-06-30","1988Jun","","","","","","","","","8.96","","","","","","","","","","6.45"
